"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"HISTÓRIA";"Licenciatura";"Matutino";"50";"160999"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"HISTÓRIA";"Licenciatura";"Noturno";"50";"160996"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"LETRAS - FRANCÊS";"Licenciatura";"Vespertino";"50";"160998"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"LETRAS - INGLÊS";"Licenciatura";"Vespertino";"50";"160977"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"LETRAS - LIBRAS";"Licenciatura";"Matutino";"50";"160971"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"LETRAS - LÍNGUA PORTUGUESA";"Licenciatura";"Vespertino";"50";"161008"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"MATEMÁTICA";"Licenciatura";"Vespertino";"50";"161021"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"MEDICINA";"Bacharelado";"Integral";"40";"161003"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"MEDICINA VETERINÁRIA";"Bacharelado";"Integral";"50";"160972"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"PEDAGOGIA";"Licenciatura";"Vespertino";"50";"160979"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"PSICOLOGIA";"Bacharelado";"Integral";"50";"161016"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"QUÍMICA";"Licenciatura";"Matutino";"50";"160997"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"CAMPUS UNIVERSITÁRIO";"SISTEMAS DE INFORMAÇÃO";"Bacharelado";"Integral";"50";"161020"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Rio Branco";"UNIVERSIDADE FEDERAL DO ACRE";"ABI - TEATRO";"Área Básica de Ingresso (ABI)";"Integral";"50";"160984"
"AL";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS";"IFAL";"Arapiraca";"CAMPUS ARAPIRACA";"LETRAS - PORTUGUÊS";"Licenciatura";"Vespertino";"40";"179769"
"AL";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS";"IFAL";"Arapiraca";"CAMPUS ARAPIRACA";"SISTEMAS DE INFORMAÇÃO";"Bacharelado";"Noturno";"40";"179768"
"AL";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS";"IFAL";"Maceió";"CAMPUS E POLO UAB - MACEIÓ";"ALIMENTOS";"Tecnológico";"Noturno";"30";"179730"
"AL";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS";"IFAL";"Maceió";"CAMPUS E POLO UAB - MACEIÓ";"CIÊNCIAS BIOLÓGICAS";"Licenciatura";"Noturno";"40";"179762"
